id,relationship,coeficients,trend,surface_level,spatial_autocorrelation,dataset_path,target_path,trend_path
80,polynom3,"[[-3, -2, 2, 0.25], [3, -2, 2, -0.25], [-3, 2, -2, 0.25], [-3, -2, 2, -0.25]]",nonlinear,large,none,dataset-TR_nonlinear_rel-polynom3-lvl_large-sac-none.csv,target-TR_nonlinear_rel-polynom3-lvl_large-sac-none.csv,trend_nonlinear.csv
81,linear,"[[1.5, 0.25], [1.5, -0.25], [-1.5, 0.25], [-1.5, -0.25]]",random_con,small,high,dataset-TR_random_con_rel-linear-lvl_small-sac-high.csv,target-TR_random_con_rel-linear-lvl_small-sac-high.csv,trend_random_con.csv
82,linear,"[[1.5, 0.25], [1.5, -0.25], [-1.5, 0.25], [-1.5, -0.25]]",random_con,small,low,dataset-TR_random_con_rel-linear-lvl_small-sac-low.csv,target-TR_random_con_rel-linear-lvl_small-sac-low.csv,trend_random_con.csv
83,linear,"[[1.5, 0.25], [1.5, -0.25], [-1.5, 0.25], [-1.5, -0.25]]",random_con,small,none,dataset-TR_random_con_rel-linear-lvl_small-sac-none.csv,target-TR_random_con_rel-linear-lvl_small-sac-none.csv,trend_random_con.csv
84,polynom2,"[[2, -1, 0.25], [-2, -1, -0.25], [-2, 1, -0.25], [-2, 1, 0.25]]",random_con,small,high,dataset-TR_random_con_rel-polynom2-lvl_small-sac-high.csv,target-TR_random_con_rel-polynom2-lvl_small-sac-high.csv,trend_random_con.csv
85,polynom2,"[[2, -1, 0.25], [-2, -1, -0.25], [-2, 1, -0.25], [-2, 1, 0.25]]",random_con,small,low,dataset-TR_random_con_rel-polynom2-lvl_small-sac-low.csv,target-TR_random_con_rel-polynom2-lvl_small-sac-low.csv,trend_random_con.csv
86,polynom2,"[[2, -1, 0.25], [-2, -1, -0.25], [-2, 1, -0.25], [-2, 1, 0.25]]",random_con,small,none,dataset-TR_random_con_rel-polynom2-lvl_small-sac-none.csv,target-TR_random_con_rel-polynom2-lvl_small-sac-none.csv,trend_random_con.csv
87,polynom3,"[[-3, -2, 2, 0.25], [3, -2, 2, -0.25], [-3, 2, -2, 0.25], [-3, -2, 2, -0.25]]",random_con,small,high,dataset-TR_random_con_rel-polynom3-lvl_small-sac-high.csv,target-TR_random_con_rel-polynom3-lvl_small-sac-high.csv,trend_random_con.csv
88,polynom3,"[[-3, -2, 2, 0.25], [3, -2, 2, -0.25], [-3, 2, -2, 0.25], [-3, -2, 2, -0.25]]",random_con,small,low,dataset-TR_random_con_rel-polynom3-lvl_small-sac-low.csv,target-TR_random_con_rel-polynom3-lvl_small-sac-low.csv,trend_random_con.csv
89,polynom3,"[[-3, -2, 2, 0.25], [3, -2, 2, -0.25], [-3, 2, -2, 0.25], [-3, -2, 2, -0.25]]",random_con,small,none,dataset-TR_random_con_rel-polynom3-lvl_small-sac-none.csv,target-TR_random_con_rel-polynom3-lvl_small-sac-none.csv,trend_random_con.csv
90,linear,"[[1.5, 0.25], [1.5, -0.25], [-1.5, 0.25], [-1.5, -0.25]]",random_con,medium,high,dataset-TR_random_con_rel-linear-lvl_medium-sac-high.csv,target-TR_random_con_rel-linear-lvl_medium-sac-high.csv,trend_random_con.csv
91,linear,"[[1.5, 0.25], [1.5, -0.25], [-1.5, 0.25], [-1.5, -0.25]]",random_con,medium,low,dataset-TR_random_con_rel-linear-lvl_medium-sac-low.csv,target-TR_random_con_rel-linear-lvl_medium-sac-low.csv,trend_random_con.csv
92,linear,"[[1.5, 0.25], [1.5, -0.25], [-1.5, 0.25], [-1.5, -0.25]]",random_con,medium,none,dataset-TR_random_con_rel-linear-lvl_medium-sac-none.csv,target-TR_random_con_rel-linear-lvl_medium-sac-none.csv,trend_random_con.csv
93,polynom2,"[[2, -1, 0.25], [-2, -1, -0.25], [-2, 1, -0.25], [-2, 1, 0.25]]",random_con,medium,high,dataset-TR_random_con_rel-polynom2-lvl_medium-sac-high.csv,target-TR_random_con_rel-polynom2-lvl_medium-sac-high.csv,trend_random_con.csv
94,polynom2,"[[2, -1, 0.25], [-2, -1, -0.25], [-2, 1, -0.25], [-2, 1, 0.25]]",random_con,medium,low,dataset-TR_random_con_rel-polynom2-lvl_medium-sac-low.csv,target-TR_random_con_rel-polynom2-lvl_medium-sac-low.csv,trend_random_con.csv
95,polynom2,"[[2, -1, 0.25], [-2, -1, -0.25], [-2, 1, -0.25], [-2, 1, 0.25]]",random_con,medium,none,dataset-TR_random_con_rel-polynom2-lvl_medium-sac-none.csv,target-TR_random_con_rel-polynom2-lvl_medium-sac-none.csv,trend_random_con.csv
96,polynom3,"[[-3, -2, 2, 0.25], [3, -2, 2, -0.25], [-3, 2, -2, 0.25], [-3, -2, 2, -0.25]]",random_con,medium,high,dataset-TR_random_con_rel-polynom3-lvl_medium-sac-high.csv,target-TR_random_con_rel-polynom3-lvl_medium-sac-high.csv,trend_random_con.csv
